method,env_id,ckpt_step,per_seed_ckpt_policy,episodes_per_seed,n_runs,n_seeds,seeds,mean_return_mean,mean_return_std,mean_return_se,mean_return_ci95_lo,mean_return_ci95_hi,mean_length_mean,mean_length_std,mean_length_se,mean_length_ci95_lo,mean_length_ci95_hi
glpe,BipedalWalker-v3,360448,latest_ckpt,20,8,8,"0,1,2,3,4,5,6,7",42.26708885472776,102.22325918017434,36.14137988064563,-28.263104616076383,111.52066346126352,1230.39375,625.396226622321,221.110956386561,817.1050000000033,1592.875
glpe,BipedalWalker-v3,425984,latest_ckpt,20,8,8,"0,1,2,3,4,5,6,7",109.93205233644107,77.75386910367241,27.49014405334897,54.57187129887307,158.1952904673589,1382.7875,375.347293974194,132.70530843458656,1090.0400000000004,1600.0
glpe,BipedalWalker-v3,491520,latest_ckpt,20,8,8,"0,1,2,3,4,5,6,7",145.6771969835908,100.18913292663379,35.42220764681158,72.52263903903331,206.48628590730308,1419.5125,405.38839150714466,143.3264403245045,1107.825,1591.10625
glpe,BipedalWalker-v3,573440,latest_ckpt,20,8,8,"0,1,2,3,4,5,6,7",177.1980016149309,107.71137214501087,38.08172082732249,91.27936971148529,237.0415329842339,1374.59375,443.3341850663419,156.7423042961111,1032.675,1572.6746875000001
glpe,BipedalWalker-v3,638976,latest_ckpt,20,8,8,"0,1,2,3,4,5,6,7",190.66568709915833,64.15442322925574,22.68201385425925,143.50087565271187,232.62608842435435,1415.25625,184.26650610850987,65.14804800743985,1282.3085937500002,1533.66875
glpe,BipedalWalker-v3,704512,latest_ckpt,20,8,8,"0,1,2,3,4,5,6,7",228.14196081921955,53.0050128658833,18.74010201717314,188.47383402350567,262.3543195285645,1461.69375,175.65448406868956,62.10323841539738,1329.1759375000001,1567.088125
glpe,BipedalWalker-v3,1409024,latest_ckpt,20,8,8,"0,1,2,3,4,5,6,7",267.6169419672513,17.410250144079807,6.155452969516449,255.52199624779826,279.34492549927927,1411.7375,154.07534226393918,54.47385966423482,1307.038125,1514.5
glpe,BipedalWalker-v3,2113536,latest_ckpt,20,8,8,"0,1,2,3,4,5,6,7",266.8957212192787,11.97987792839925,4.235526460479079,260.1627566538115,275.94859648898057,1309.7250000000001,189.7807978958883,67.09764456558814,1168.96109375,1432.7215625
glpe,BipedalWalker-v3,2818048,latest_ckpt,20,8,8,"0,1,2,3,4,5,6,7",257.2582037590212,31.900341684610662,11.278473963678046,234.78429548220296,278.1558708196216,1203.06875,179.42032865853722,63.43466553858536,1076.8464062500002,1324.8403125000002
glpe,BipedalWalker-v3,3522560,latest_ckpt,20,8,8,"0,1,2,3,4,5,6,7",273.64463669530676,26.25272554308172,9.281740128071185,255.7859678270776,292.0334239152379,1159.1375,196.97511065804736,69.64121823563794,1023.68828125,1294.3375
glpe,BipedalWalker-v3,4227072,latest_ckpt,20,8,8,"0,1,2,3,4,5,6,7",288.5682376694078,14.761467908874865,5.218967029316511,278.71782928839275,299.36389155500586,1117.98125,232.1976622103192,82.09427076229002,949.955,1278.6499999999999
glpe,BipedalWalker-v3,4931584,latest_ckpt,20,8,8,"0,1,2,3,4,5,6,7",283.33271701971114,20.75644078388625,7.338510015791493,267.60170686849216,295.2876067080524,1062.44375,242.25733275473314,85.65090139151886,895.36125,1226.70625
glpe,BipedalWalker-v3,5636096,latest_ckpt,20,8,8,"0,1,2,3,4,5,6,7",290.58548368198456,17.870110555373515,6.318038177128956,277.56418321933603,302.5656048840685,1051.7125,262.1528058094172,92.68501334745952,875.1559374999999,1239.50640625
glpe,BipedalWalker-v3,6340608,latest_ckpt,20,8,8,"0,1,2,3,4,5,6,7",258.80417176578555,83.52594470300842,29.53088095225492,197.72315595689219,305.90498435770354,967.6875,259.29376408573734,91.67418945220487,802.8265624999999,1141.6273437499997
glpe,BipedalWalker-v3,7000000,latest_ckpt,20,8,8,"0,1,2,3,4,5,6,7",266.54542481895396,68.10110491969068,24.077376547504915,212.65813567223788,301.16684770807313,996.91875,264.32568799860803,93.45324321280768,820.7540625,1191.46375
glpe,HalfCheetah-v5,0,latest_ckpt,20,8,8,"0,1,2,3,4,5,6,7",-1.632566944655413,0.7213865861889938,0.25504867347562565,-2.154810098564795,-1.169381461257434,1000.0,0.0,0.0,1000.0,1000.0
glpe,HalfCheetah-v5,163840,latest_ckpt,20,8,8,"0,1,2,3,4,5,6,7",49.504576469474095,97.40646049470222,34.43838437359174,-3.356164623255247,123.986953530141,1000.0,0.0,0.0,1000.0,1000.0
glpe,HalfCheetah-v5,311296,latest_ckpt,20,8,8,"0,1,2,3,4,5,6,7",437.8226810978769,418.76344319991716,148.0552351998445,137.92957512372539,718.054529720161,1000.0,0.0,0.0,1000.0,1000.0
glpe,HalfCheetah-v5,458752,latest_ckpt,20,8,8,"0,1,2,3,4,5,6,7",970.8937465397591,569.8200523254262,201.46181152769108,564.5801974494071,1342.5362737518817,1000.0,0.0,0.0,1000.0,1000.0
glpe,HalfCheetah-v5,606208,latest_ckpt,20,8,8,"0,1,2,3,4,5,6,7",1393.7757422996815,262.3984603667158,92.77186534910714,1228.2182046101245,1593.2800364915458,1000.0,0.0,0.0,1000.0,1000.0
glpe,HalfCheetah-v5,753664,latest_ckpt,20,8,8,"0,1,2,3,4,5,6,7",1618.3150319947163,258.3378741688856,91.33623133106802,1441.3241202085244,1807.2324061251793,1000.0,0.0,0.0,1000.0,1000.0
glpe,HalfCheetah-v5,901120,latest_ckpt,20,8,8,"0,1,2,3,4,5,6,7",1857.3460134135373,475.39419413351703,168.07722920426195,1512.891529613119,2219.227352508804,1000.0,0.0,0.0,1000.0,1000.0
glpe,HalfCheetah-v5,1064960,latest_ckpt,20,8,8,"0,1,2,3,4,5,6,7",2037.0066957793201,490.0901041248697,173.27301800955826,1716.1167792167003,2389.1729613594343,1000.0,0.0,0.0,1000.0,1000.0
glpe,HalfCheetah-v5,1212416,latest_ckpt,20,8,8,"0,1,2,3,4,5,6,7",2231.1181033304306,543.6051780755747,192.1934538526798,1868.1902659579268,2613.745968798904,1000.0,0.0,0.0,1000.0,1000.0
glpe,HalfCheetah-v5,1359872,latest_ckpt,20,8,8,"0,1,2,3,4,5,6,7",2413.012719660416,620.0258924552897,219.2122565331882,1995.549619840546,2838.974826229118,1000.0,0.0,0.0,1000.0,1000.0
glpe,HalfCheetah-v5,1507328,latest_ckpt,20,8,8,"0,1,2,3,4,5,6,7",2561.6991255526364,640.0493519243382,226.29161851987726,2131.0092362860723,2991.005893618658,1000.0,0.0,0.0,1000.0,1000.0
glpe,HalfCheetah-v5,3014656,latest_ckpt,20,8,8,"0,1,2,3,4,5,6,7",3898.8740837555874,445.70605689777085,157.58088762416546,3607.43107828377,4210.683740969596,1000.0,0.0,0.0,1000.0,1000.0
glpe,HalfCheetah-v5,4521984,latest_ckpt,20,8,8,"0,1,2,3,4,5,6,7",4474.824555962379,507.5413612065931,179.44296912091644,4121.863498853779,4807.396800873624,1000.0,0.0,0.0,1000.0,1000.0
glpe,HalfCheetah-v5,6029312,latest_ckpt,20,8,8,"0,1,2,3,4,5,6,7",5023.887982706836,371.27568866432136,131.2657785721235,4763.303195340623,5275.029805059847,1000.0,0.0,0.0,1000.0,1000.0
glpe,HalfCheetah-v5,7536640,latest_ckpt,20,8,8,"0,1,2,3,4,5,6,7",5436.6708223806145,416.593477931539,147.28803662173976,5152.0734293061605,5720.052088430064,1000.0,0.0,0.0,1000.0,1000.0
glpe,HalfCheetah-v5,9043968,latest_ckpt,20,8,8,"0,1,2,3,4,5,6,7",5764.917641386246,350.9467402684244,124.07840993955843,5520.644241055627,5999.184294070715,1000.0,0.0,0.0,1000.0,1000.0
glpe,HalfCheetah-v5,10551296,latest_ckpt,20,8,8,"0,1,2,3,4,5,6,7",6261.1757519000175,431.94336329667567,152.7150406378019,5992.350649026876,6567.965947620068,1000.0,0.0,0.0,1000.0,1000.0
glpe,HalfCheetah-v5,12058624,latest_ckpt,20,8,8,"0,1,2,3,4,5,6,7",6498.634057280333,488.2311392647341,172.61577468026357,6176.939063971736,6857.941031788493,1000.0,0.0,0.0,1000.0,1000.0
glpe,HalfCheetah-v5,13565952,latest_ckpt,20,8,8,"0,1,2,3,4,5,6,7",6631.03660623889,431.14717893566115,152.4335469574279,6337.855503077013,6954.2668550575745,1000.0,0.0,0.0,1000.0,1000.0
glpe,HalfCheetah-v5,15000000,latest_ckpt,20,8,8,"0,1,2,3,4,5,6,7",6888.629640115365,526.9187544905977,186.29391221733562,6562.2573125930985,7309.362890715093,1000.0,0.0,0.0,1000.0,1000.0
glpe,Humanoid-v5,0,latest_ckpt,20,5,5,"0,1,2,3,4",181.53857973565655,74.73928434478556,33.42442407692527,129.09285583097122,258.7156223373929,39.33,15.821965743863812,7.075798188190501,28.079999999999995,53.32000000000001
glpe,Humanoid-v5,311296,latest_ckpt,20,5,5,"0,1,2,3,4",424.11641167596474,65.06657818711375,29.09865837793827,373.2101032817954,489.29769712995596,81.1,16.27252285295676,7.277293452926027,69.54925000000001,97.26074999999996
glpe,Humanoid-v5,606208,latest_ckpt,20,5,5,"0,1,2,3,4",421.64896462468715,48.53617040820159,21.706035280050493,380.40878804588465,463.30570094446193,80.16,11.561591585936599,5.170500942848767,70.37,90.61999999999999
glpe,Humanoid-v5,901120,latest_ckpt,20,5,5,"0,1,2,3,4",423.68445637822214,24.423957326442522,10.9227257722959,402.92145198994274,444.44746076650154,79.72,4.971981496345296,2.2235377217398407,75.42999999999999,84.01
glpe,Humanoid-v5,1212416,latest_ckpt,20,5,5,"0,1,2,3,4",467.99317602921866,47.057998575490956,21.04497673997721,423.4861010845584,502.7646316641717,89.57000000000001,9.157324936901604,4.0952802101931916,81.80999999999999,96.9
glpe,Humanoid-v5,1507328,latest_ckpt,20,5,5,"0,1,2,3,4",476.4193190927278,46.02201752705661,20.581671930437068,430.3914088509775,507.2444316438308,90.27,8.763195764103413,3.9190202857346885,81.81,96.6
glpe,Humanoid-v5,1802240,latest_ckpt,20,5,5,"0,1,2,3,4",506.4852831601084,61.38764678352645,27.45339023734229,447.3364941341248,560.1046976778954,96.49,10.693240855792974,4.7821626906662225,86.38,104.37
glpe,Humanoid-v5,2113536,latest_ckpt,20,5,5,"0,1,2,3,4",516.8968021519892,76.34644070699066,34.143166252197645,450.76979384373647,581.2421754651538,97.67,12.877911321328467,5.759177024540918,86.47999999999999,108.72999999999999
glpe,Humanoid-v5,2408448,latest_ckpt,20,5,5,"0,1,2,3,4",612.0922563576001,203.48587658937365,91.00165050299451,472.8934018209708,804.8220816012924,118.08,37.16464179835452,16.62053308411015,91.62,152.5
glpe,Humanoid-v5,2703360,latest_ckpt,20,5,5,"0,1,2,3,4",592.2829548554724,137.47519177526698,61.48077480586339,480.58979836664975,723.9595301716005,113.0,23.71029312345168,10.603565438096753,92.55999999999999,135.83
glpe,Humanoid-v5,3014656,latest_ckpt,20,5,5,"0,1,2,3,4",624.497624766991,261.85843491786835,117.10665219161163,465.43016091460885,891.9200975771598,116.72,42.95333048786787,19.209313366177355,89.65,160.86
glpe,Humanoid-v5,6029312,latest_ckpt,20,5,5,"0,1,2,3,4",837.9942241417139,653.9368762243074,292.44946164628345,487.3182334185103,1492.2480470294329,155.62,115.79596538740027,51.785530025287954,93.27000000000001,270.92999999999995
glpe,Humanoid-v5,9043968,latest_ckpt,20,5,5,"0,1,2,3,4",1677.1114656027173,2091.4951046524634,935.345045722189,516.6157915705085,3802.235505707022,299.15,352.18644210133925,157.50256505847767,100.8,658.7
glpe,Humanoid-v5,12058624,latest_ckpt,20,5,5,"0,1,2,3,4",1807.7456126385916,2211.5598385219773,989.0396270487198,551.673834414153,4054.5978986641335,311.68,346.1796507595442,154.8162463050955,114.55,662.64
glpe,Humanoid-v5,15073280,latest_ckpt,20,5,5,"0,1,2,3,4",1841.9415850804348,2179.367069286214,974.6425829696935,593.1759932726424,4066.5367956442196,318.31,344.0399226834002,153.85933081877096,117.2,670.58
glpe,Humanoid-v5,18087936,latest_ckpt,20,5,5,"0,1,2,3,4",1808.1415160995587,2215.5136524804407,990.8078264050222,574.1342666426091,3972.736198937307,312.46,345.31999565620293,154.43179685544035,118.85,664.75
glpe,Humanoid-v5,21102592,latest_ckpt,20,5,5,"0,1,2,3,4",1978.5096213237844,2388.0178835471784,1067.9540638193334,592.0238516264556,4398.673654824551,327.53,340.4589264507541,152.25786061809748,122.08,673.9377499999999
glpe,Humanoid-v5,24117248,latest_ckpt,20,5,5,"0,1,2,3,4",1930.8177792641404,2212.790703566258,989.5900866307477,644.9218879726607,4150.483415469165,316.56,311.6093602573581,139.3559423921348,131.43,628.77
glpe,Humanoid-v5,27131904,latest_ckpt,20,5,5,"0,1,2,3,4",2192.7803616338597,2295.682204446723,1026.6602927758886,630.4017497409441,4524.690137935921,369.5,336.736551327592,150.59316385546853,129.35,708.85
glpe,Humanoid-v5,30000000,latest_ckpt,20,5,5,"0,1,2,3,4",1969.954804422815,2323.7209369834527,1039.199595166901,546.3970452545063,4355.333620276217,326.59999999999997,335.3670943906095,149.98072409479823,111.13,671.24
glpe,MountainCar-v0,0,latest_ckpt,20,10,10,"0,1,2,3,4,5,6,7,8,9",-200.0,0.0,0.0,-200.0,-200.0,200.0,0.0,0.0,200.0,200.0
glpe,MountainCar-v0,32768,latest_ckpt,20,10,10,"0,1,2,3,4,5,6,7,8,9",-194.215,11.000001136363576,3.478505785534932,-200.0,-185.91,194.215,11.000001136363576,3.478505785534932,186.711125,200.0
glpe,MountainCar-v0,65536,latest_ckpt,20,10,10,"0,1,2,3,4,5,6,7,8,9",-185.275,29.662495259165233,9.380104610290868,-200.0,-163.98,185.275,29.662495259165233,9.380104610290868,165.52537500000008,200.0
glpe,MountainCar-v0,98304,latest_ckpt,20,10,10,"0,1,2,3,4,5,6,7,8,9",-188.365,23.378259665766397,7.392854827466856,-200.0,-172.42,188.365,23.378259665766397,7.392854827466856,171.41500000000002,200.0
glpe,MountainCar-v0,131072,latest_ckpt,20,10,10,"0,1,2,3,4,5,6,7,8,9",-156.32,36.01136070742121,11.387792147734345,-178.66500000000002,-134.26450000000003,156.32,36.01136070742121,11.387792147734345,133.58262499999998,179.23712499999996
glpe,MountainCar-v0,163840,latest_ckpt,20,10,10,"0,1,2,3,4,5,6,7,8,9",-142.455,30.14263135494312,9.531936975242754,-160.83424999999997,-125.95949999999999,142.455,30.14263135494312,9.531936975242754,125.87337500000001,162.21037499999997
glpe,MountainCar-v0,180224,latest_ckpt,20,10,10,"0,1,2,3,4,5,6,7,8,9",-144.39,30.38664838378856,9.609101935144615,-165.38324999999998,-127.25387500000001,144.39,30.38664838378856,9.609101935144615,126.923,164.451125
glpe,MountainCar-v0,212992,latest_ckpt,20,10,10,"0,1,2,3,4,5,6,7,8,9",-143.535,31.255975828631556,9.884007410964442,-163.84625,-125.429,143.535,31.255975828631556,9.884007410964442,125.4,164.11599999999999
glpe,MountainCar-v0,245760,latest_ckpt,20,10,10,"0,1,2,3,4,5,6,7,8,9",-133.71,27.16619958698677,8.59070660656037,-151.9975,-118.214,133.71,27.16619958698677,8.59070660656037,118.83862500000001,152.846625
glpe,MountainCar-v0,278528,latest_ckpt,20,10,10,"0,1,2,3,4,5,6,7,8,9",-129.4,28.19564682712564,8.916246407541685,-148.58524999999997,-114.23912500000002,129.4,28.19564682712564,8.916246407541685,114.51887500000001,147.42074999999994
glpe,MountainCar-v0,311296,latest_ckpt,20,10,10,"0,1,2,3,4,5,6,7,8,9",-125.075,29.32029374000199,9.271890988358306,-145.225375,-109.214,125.075,29.32029374000199,9.271890988358306,109.67325,145.64874999999998
glpe,MountainCar-v0,622592,latest_ckpt,20,10,10,"0,1,2,3,4,5,6,7,8,9",-109.145,30.326172277424,9.589977711131553,-129.84037499999997,-98.365,109.145,30.326172277424,9.589977711131553,98.365,129.84499999999997
glpe,MountainCar-v0,933888,latest_ckpt,20,10,10,"0,1,2,3,4,5,6,7,8,9",-106.745,31.090243244464975,9.831598166117246,-127.535125,-96.1,106.745,31.090243244464975,9.831598166117246,96.12,127.60524999999998
glpe,MountainCar-v0,1245184,latest_ckpt,20,10,10,"0,1,2,3,4,5,6,7,8,9",-99.065,8.677645129872504,2.7441123337064752,-104.995,-95.92,99.065,8.677645129872504,2.7441123337064752,95.935,104.96
glpe,MountainCar-v0,1556480,latest_ckpt,20,10,10,"0,1,2,3,4,5,6,7,8,9",-96.525,0.8608861713374188,0.27223611075682075,-97.1,-96.015,96.525,0.8608861713374188,0.27223611075682075,96.00975,97.07499999999999
glpe,MountainCar-v0,1867776,latest_ckpt,20,10,10,"0,1,2,3,4,5,6,7,8,9",-96.255,0.5335962893424196,0.16873796253362763,-96.58500000000001,-95.91499999999999,96.255,0.5335962893424196,0.16873796253362763,95.92487499999999,96.57012500000002
glpe,MountainCar-v0,2179072,latest_ckpt,20,10,10,"0,1,2,3,4,5,6,7,8,9",-96.2,0.540832691319598,0.17102631376487057,-96.53999999999999,-95.86987500000001,96.2,0.540832691319598,0.17102631376487057,95.87,96.535125
glpe,MountainCar-v0,2490368,latest_ckpt,20,10,10,"0,1,2,3,4,5,6,7,8,9",-96.19,0.5281098370604377,0.1670029939851385,-96.52000000000001,-95.86487500000001,96.19,0.5281098370604377,0.1670029939851385,95.86,96.525
glpe,MountainCar-v0,2801664,latest_ckpt,20,10,10,"0,1,2,3,4,5,6,7,8,9",-96.26,0.6468384651518482,0.20454828280872922,-96.68,-95.86,96.26,0.6468384651518482,0.20454828280872922,95.88000000000001,96.67999999999999
glpe,MountainCar-v0,3000000,latest_ckpt,20,10,10,"0,1,2,3,4,5,6,7,8,9",-96.24000000000001,0.5219195340279945,0.16504544828622172,-96.56,-95.91499999999999,96.24000000000001,0.5219195340279945,0.16504544828622172,95.925,96.570125
glpe_cache,Ant-v5,0,latest_ckpt,20,8,8,"0,1,2,3,4,5,6,7",985.813282797613,5.890923801557273,2.0827560837671917,981.8055138060868,990.0728774989188,1000.0,0.0,0.0,1000.0,1000.0
glpe_cache,Ant-v5,163840,latest_ckpt,20,8,8,"0,1,2,3,4,5,6,7",969.0007943159134,52.18719682383281,18.450960382624615,935.1749716766566,1004.9609117616359,980.975,29.35816538886584,10.379678914831613,957.0250000000001,1000.0
glpe_cache,Ant-v5,311296,latest_ckpt,20,8,8,"0,1,2,3,4,5,6,7",734.0475965730258,140.42026456986198,49.64606064667925,629.5187539372406,832.6976071110262,714.5375,114.38181058957755,40.44007695614277,632.6368749999999,794.3817187499999
glpe_cache,Ant-v5,458752,latest_ckpt,20,8,8,"0,1,2,3,4,5,6,7",714.0330387210539,119.93640453376015,42.40392247847739,630.7644699068502,796.5758708719129,696.53125,113.48650508292826,40.123538658650084,615.9071875000001,773.5065625
glpe_cache,Ant-v5,606208,latest_ckpt,20,8,8,"0,1,2,3,4,5,6,7",497.6764450921245,192.07730343823724,67.90958188660186,373.2194180668414,640.4743376351481,470.825,203.41396369226965,71.917696557419,337.53640625,615.1984374999998
glpe_cache,Ant-v5,753664,latest_ckpt,20,8,8,"0,1,2,3,4,5,6,7",489.81811162464766,77.66289024071861,27.457978167879332,435.45323570195364,542.2131838209311,437.95625,107.46084879358389,37.99314744700269,361.970625,515.5532812499998
glpe_cache,Ant-v5,901120,latest_ckpt,20,8,8,"0,1,2,3,4,5,6,7",544.8744193300006,120.93191049372376,42.755886985978336,461.1552155042478,631.9855548563036,463.275,102.50057926665585,36.23942733750079,393.1675,537.61875
glpe_cache,Ant-v5,1064960,latest_ckpt,20,8,8,"0,1,2,3,4,5,6,7",606.2065277326483,73.38399832440908,25.94516142288595,556.9829046244279,656.588193502189,485.525,74.346961101312,26.285620177675092,432.22390625,538.00125
glpe_cache,Ant-v5,1212416,latest_ckpt,20,8,8,"0,1,2,3,4,5,6,7",692.3649435743075,112.9356043835248,39.928765848495786,611.8735674629515,762.1873094268032,536.9375,89.98031295094499,31.81284473045046,481.70625,607.4137499999999
glpe_cache,Ant-v5,1359872,latest_ckpt,20,8,8,"0,1,2,3,4,5,6,7",776.2709427517575,168.04331321472705,59.41228315359423,670.142995736896,911.4175457981283,548.56875,105.25652277145345,37.21380050790549,483.31296875000004,629.20703125
glpe_cache,Ant-v5,1507328,latest_ckpt,20,8,8,"0,1,2,3,4,5,6,7",964.0477851845766,200.1660155769672,70.7693734887828,813.8429675832886,1091.0912312394187,617.70625,120.50394557207453,42.604578536874264,536.1153125000001,694.6071874999999
glpe_cache,Ant-v5,3014656,latest_ckpt,20,8,8,"0,1,2,3,4,5,6,7",1717.415073938283,190.18402634294628,67.24020735022916,1590.6245902448986,1848.8195776222838,798.95,69.42697602517337,24.546142772337973,752.043125,847.9259374999999
glpe_cache,Ant-v5,4521984,latest_ckpt,20,8,8,"0,1,2,3,4,5,6,7",2534.2238440107544,351.52409546297514,124.2825358261685,2314.666779983902,2797.286664384933,855.00625,78.9889962174321,27.926827432232393,798.4065625000001,910.8687500000001
glpe_cache,Ant-v5,6029312,latest_ckpt,20,8,8,"0,1,2,3,4,5,6,7",3312.6097468429616,548.4849629415249,193.91871833740223,2947.016892771227,3696.5726956406384,934.38125,60.35167218841165,21.337538330186717,887.36875,971.4164062499999
